sample_id,sra_accession,pmid,fastq_1,fastq_2
SRR25872668,SRR25872668,40315330,SRR25872668_1.fastq.gz,SRR25872668_2.fastq.gz
SRR25872669,SRR25872669,40315330,SRR25872669_1.fastq.gz,SRR25872669_2.fastq.gz
