sample_id,sra_accession,pmid,fastq_1,fastq_2
SRR25872670,SRR25872670,32416070,SRR25872670_1.fastq.gz,SRR25872670_2.fastq.gz
SRR25872671,SRR25872671,32416070,SRR25872671_1.fastq.gz,SRR25872671_2.fastq.gz
